engine_size_l,co2_emissions_g_km
0.9,155.33333333333334
1.0,165.05555555555554
1.2,150.64
1.3,200.2
1.4,184.4218009478673
1.5,175.85507246376812
1.6,185.50331125827816
1.8,180.09722222222223
2.0,210.07338820301783
2.1,210.8
2.2,227.0
2.3,242.13725490196077
2.4,219.29768786127167
2.5,212.17966903073287
2.7,259.8484848484849
2.8,279.0
2.9,267.17391304347825
3.0,258.0387016229713
3.2,252.25714285714287
3.3,269.25882352941176
3.4,241.28846153846155
3.5,258.4962121212121
3.6,267.011214953271
3.7,277.22522522522524
3.8,276.13157894736844
4.0,301.7171717171717
4.2,340.0769230769231
4.3,295.86538461538464
4.4,309.6412213740458
4.6,327.5
4.7,315.2692307692308
4.8,339.125
5.0,310.1449275362319
5.2,350.0416666666667
5.3,311.80689655172415
5.4,373.375
5.5,332.9807692307692
5.6,334.94444444444446
5.7,330.1034482758621
5.8,304.0
5.9,360.5
6.0,384.98936170212767
6.2,332.12345679012344
6.3,350.3333333333333
6.4,322.5652173913044
6.5,453.5
6.6,379.86206896551727
6.7,393.08
6.8,432.375
8.0,522.0
8.4,378.4
